industry,itl2,employment
010 : DEFRA/Scottish Executive Agricultural Data,I3InnerLondonWest,7.5
010 : DEFRA/Scottish Executive Agricultural Data,I4InnerLondonEast,15.625
010 : DEFRA/Scottish Executive Agricultural Data,I7OuterLondonWestandNor,63.75
010 : DEFRA/Scottish Executive Agricultural Data,I5OuterLondonEastandNor,109.375
010 : DEFRA/Scottish Executive Agricultural Data,G3WestMidlands,218.75
010 : DEFRA/Scottish Executive Agricultural Data,I6OuterLondonSouth,234.375
010 : DEFRA/Scottish Executive Agricultural Data,D7Merseyside,443.75
010 : DEFRA/Scottish Executive Agricultural Data,D3GreaterManchester,487.5
010 : DEFRA/Scottish Executive Agricultural Data,M8WestCentralScotland,537.5
010 : DEFRA/Scottish Executive Agricultural Data,E3SouthYorkshire,750
010 : DEFRA/Scottish Executive Agricultural Data,E4WestYorkshire,1187.5
010 : DEFRA/Scottish Executive Agricultural Data,C1TeesValleyandDurham,1281.25
010 : DEFRA/Scottish Executive Agricultural Data,H2BedfordshireandHertfordsh,1875
010 : DEFRA/Scottish Executive Agricultural Data,C2NorthumberlandandTyneand,2031.25
010 : DEFRA/Scottish Executive Agricultural Data,M5NorthEasternScotland,2250
010 : DEFRA/Scottish Executive Agricultural Data,D6Cheshire,2750
010 : DEFRA/Scottish Executive Agricultural Data,D1Cumbria,3187.5
010 : DEFRA/Scottish Executive Agricultural Data,F1DerbyshireandNottinghamsh,3437.5
010 : DEFRA/Scottish Executive Agricultural Data,E1EastYorkshireandNorthern,3500
010 : DEFRA/Scottish Executive Agricultural Data,F2LeicestershireRutlandand,3625
010 : DEFRA/Scottish Executive Agricultural Data,K3CornwallandIslesofScill,4000
010 : DEFRA/Scottish Executive Agricultural Data,M6HighlandsandIslands,4000
010 : DEFRA/Scottish Executive Agricultural Data,H3Essex,4000
010 : DEFRA/Scottish Executive Agricultural Data,D4Lancashire,4125
010 : DEFRA/Scottish Executive Agricultural Data,J1BerkshireBuckinghamshire,4437.5
010 : DEFRA/Scottish Executive Agricultural Data,J3HampshireandIsleofWight,4875
010 : DEFRA/Scottish Executive Agricultural Data,K4Devon,5375
010 : DEFRA/Scottish Executive Agricultural Data,M9SouthernScotland,5375
010 : DEFRA/Scottish Executive Agricultural Data,L2EastWales,5437.5
010 : DEFRA/Scottish Executive Agricultural Data,E2NorthYorkshire,6000
010 : DEFRA/Scottish Executive Agricultural Data,K1GloucestershireWiltshire,6375
010 : DEFRA/Scottish Executive Agricultural Data,K2DorsetandSomerset,6625
