ITLcode,ITLname,eci
TLH2,Bedfordshire and Hertfordshire,.8063174851383634
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1.452199135842239
TLD6,Cheshire,.2642571180475827
TLK3,Cornwall and Isles of Scilly,-.516793570765211
TLD1,Cumbria,-.8776758709067756
TLF1,Derbyshire and Nottinghamshire,-.7950968023372872
TLK4,Devon,-.5699649461227216
TLK2,Dorset and Somerset,-.4924266547919348
TLH1,East Anglia,-.3288647617066467
TLL2,East Wales,-.4140987415459552
TLE1,East Yorkshire and Northern Lincolnshire,-1.009147112970405
TLM7,Eastern Scotland,-.2935420096055416
TLH3,Essex,.1005277845786629
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",.2408769600167052
TLD3,Greater Manchester,.485375061477143
TLJ3,Hampshire and Isle of Wight,.0524758734293043
TLG1,"Herefordshire, Worcestershire and Warwickshire",-.3955838472407429
TLM6,Highlands and Islands,-.8131841541444251
TLI4,Inner London - East,2.996857692080094
TLI3,Inner London - West,3.011304934661813
TLJ4,Kent,-.0341202067232609
TLD4,Lancashire,-.7274054862447737
TLF2,"Leicestershire, Rutland and Northamptonshire",-.3741553981114175
TLF3,Lincolnshire,-.7825650741050365
TLD7,Merseyside,-.074252145758788
TLM5,North Eastern Scotland,-.8210648285911065
TLE2,North Yorkshire,-.4562934564862129
TLC2,"Northumberland, and Tyne and Wear",-.3984473518246678
TLI5,Outer London - East and North East,.5706968219340586
TLI6,Outer London - South,1.597308587690392
TLI7,Outer London - West and North West,1.932739644362462
TLG2,Shropshire and Staffordshire,-.8523855839085757
TLE3,South Yorkshire,-.6367817531290516
TLM9,Southern Scotland,-.990212824717064
TLJ2,"Surrey, East and West Sussex",.9302229394860252
TLC1,Tees Valley and Durham,-.8483644164131809
TLM8,West Central Scotland,.3408021984644164
TLG3,West Midlands,-.1053667219202189
TLL1,West Wales and The Valleys,-.9640162547206057
TLE4,West Yorkshire,-.2101522624176667
