TERRITORY_ID,LEVEL_ID,NAME_HTML,UNIT,VERSIONS,SECTOR,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AT,0,Austria,Million EUR,2021,Total,533900,552702.93,567108.19,580842.79,593988.65,608984.61,624009.65,640203.06,658766.92,678427.89,699683.1,724075.27,747257.23,768677.29,792255.76,815165.93,839664.07,863470.52,888081.03,911948.64,938089.77,961661.03,981596.33,1002854.18,1023602.52,1043280.09,1062915.32,1084983.3,1107193.89,1122988.37,1136283.06,1153439.77,1170243.49,1187239.69,1202967.27,1219501.37,1238093.09,1258565.61,1281025.03,1305545.54,1323387.28,1345350.5,1365920.5,1382871.45,1399000.08,1415111.88
AT1,1,Ostösterreich,Million EUR,2021,Total,246536,255507.01,262200.52,268376.74,274235.25,281098.5,287841.68,294999.56,303491.39,312725.87,322867.59,334809.37,346403.58,356906.53,368614.99,378610.06,389667.12,400653.83,411972.98,423088.2,435401.02,445278.72,453910.32,463881.86,474234.24,483572.45,492955.63,503328.58,513789.58,521617.84,528009.51,536477.29,544257.31,552218.24,559354.72,566731.67,573867.47,581904.82,591561.63,602285.92,610350.56,619920.41,629095,636698.36,643946.79,651197.86
AT11,2,Burgenland,Million EUR,2021,Total,9714,9974.11,10155.14,10340.61,10517.7,10737.63,10939.3,11166.29,11433.53,11724.11,12035.06,12389.42,12720.01,13017.8,13358.97,13802.34,14300.09,14782.63,15249.2,15706.47,16421.67,17149.39,17686.87,18227.31,18917.73,19492.49,20183.8,20864.29,21487.18,21968.5,22442.6,22980.5,23655.88,24154.69,24661.65,25119.32,25518.53,26129.82,26714.61,27345.74,27907.21,28631.19,29325.17,29928.78,30513.37,31099.9
AT12,2,Niederösterreich,Million EUR,2021,Total,77378,80171.89,82270.22,84353.82,86290.05,88517.63,90695.37,93041.03,95742.54,98627.58,101639.81,105103.79,108375.72,111408.77,114625.27,117905.28,121409.07,124710.59,128037.3,131236.78,135357.89,138809.9,141377.39,144418.43,147468.45,150610.7,153355.21,156728.63,160852.79,164228.4,166658.77,170106.61,173210.87,176983.61,179999.5,183241.5,186037.8,189071.14,192460.44,196868.46,200153.3,203770.82,206981.13,209613.11,212113.05,214612.13
AT13,2,Wien,Million EUR,2021,Total,159444,165361.01,169775.16,173682.31,177427.5,181843.23,186207.02,190792.24,196315.32,202374.18,209192.72,217316.15,225307.85,232479.96,240630.75,246902.43,253957.96,261160.6,268686.48,276144.95,283621.47,289319.43,294846.06,301236.12,307848.06,313469.26,319416.61,325735.67,331449.6,335420.95,338908.14,343390.18,347390.57,351079.94,354693.57,358370.85,362311.14,366703.85,372386.58,378071.73,382290.04,387518.4,392788.7,397156.46,401320.37,405485.82
AT2,1,Südösterreich,Million EUR,2021,Total,106773,110674.63,113762.04,116797.82,119685.12,122926.73,126176.46,129739.43,133683.47,137667.47,141835.74,146487.22,150836.19,154900.42,159205.45,164028.77,169038.23,173938.47,179040.7,183992.57,189002.38,194361.07,198234.87,201489.26,204991.76,208103.2,211183.1,214931.06,218865.83,221149.02,223594.11,226976.67,229980.05,233124.91,235957.05,239156.79,242882.61,247043.41,251325.14,256038.9,259629.04,265018.58,270284.2,274853.28,279275.09,283711.01
AT21,2,Kärnten,Million EUR,2021,Total,31526,32599.44,33418.46,34240.01,35021.64,35954.81,36895.72,37948.37,39135.56,40323.08,41574.15,42943.34,44238.67,45451.67,46765.97,48189.17,49632.33,51016.21,52453.2,53815.84,55235.07,56948.13,58016.44,58867.58,59910.85,61295.38,62666.29,64306.42,65685.42,66126.77,66650.92,67648.94,68638.91,69484.06,70315.05,71327.5,72232.19,73315.59,74543.12,75837.54,77262.33,79331.66,81279.39,83004.91,84685.7,86373.88
AT22,2,Steiermark,Million EUR,2021,Total,75247,78075.19,80343.59,82557.82,84663.48,86971.92,89280.74,91791.06,94547.9,97344.39,100261.59,103543.87,106597.52,109448.76,112439.48,115839.6,119405.9,122922.26,126587.5,130176.72,133767.31,137412.94,140218.43,142621.67,145080.91,146807.82,148516.81,150624.64,153180.41,155022.25,156943.19,159327.73,161341.14,163640.85,165642,167829.29,170650.42,173727.82,176782.02,180201.36,182366.71,185686.92,189004.81,191848.38,194589.39,197337.13
AT3,1,Westösterreich,Million EUR,2021,Total,180562,186491.26,191114.83,195636.69,200036.04,204926.32,209957.63,215429.32,221556.24,227997.65,234941.71,242739.29,249976.79,256828.49,264392.23,272482.69,280912.97,288831.16,297018.93,304818.14,313635.2,321968.78,329397.19,337427.96,344319.24,351545.49,358716.33,366662.38,374475.58,380158.12,384615.84,389921.96,395942.05,401832.24,407590.98,413548.18,421277.83,429551.73,438071.89,447153.85,453338.92,460347.53,466482.25,471265.78,475729.35,480176.17
AT31,2,Oberösterreich,Million EUR,2021,Total,87625,90610.43,92981.9,95270.19,97500.32,99855.34,102442.76,105199.42,108203.02,111355.04,114777.54,118635.97,122266.74,125704.41,129401.4,133421.02,137646.99,141653.27,145908.86,149974.06,153425.39,156604.75,159702.29,163070.65,165818,168141.5,170677.72,173823,176890.57,179401.79,181043.58,182886.69,185477.62,187870.4,189940.32,192185.26,195171.42,198428.86,201790.15,205690.88,208556.3,211644.01,214652.81,217054.3,219314.08,221569.06
AT32,2,Salzburg,Million EUR,2021,Total,30458,31324.17,31949.4,32545.01,33122.86,33836.93,34516.19,35282.23,36182.42,37120.57,38124.54,39250.83,40253.45,41174.33,42255.7,43446.44,44688.49,45819.4,46958.47,48014.21,49703.75,51465.27,52798.06,54216.41,55728.7,57396.14,58987.01,60467.74,62047.68,63025.97,63811.51,64786.69,65672.12,66506.97,67601.69,68779.35,70351.83,71879.3,73828.64,75822.28,76920.45,78243.37,79340.25,80179.15,80956.32,81729.49
AT33,2,Tirol,Million EUR,2021,Total,38942,40189.67,41139.59,42098.45,43023.5,44090.74,45133.93,46302.12,47653.54,49098.69,50625.74,52323.75,53881.19,55363.32,57060.83,58884.51,60757.31,62479.37,64189.55,65862.1,68636.91,71027.13,73303.43,75793.65,77653.14,80125.09,82532.43,85099.59,87648.67,89390.8,91087.7,93270.15,95263.52,97219.12,99135.4,101191.48,103524.2,106080.64,108612.76,110929.35,112507.91,114350.5,115840.64,117021.07,118128.86,119233.73
