ITL_level,ITL1code,ITL1name,SIC07,Asset,Year,GFCF_CP,GFCF_deflator
"ITL1","TLC","North East (England)","A","Buildings",1997,56.37,100
"ITL1","TLC","North East (England)","A","Buildings",1998,61.36,104.3692
"ITL1","TLC","North East (England)","A","Buildings",1999,49.6,107.2737
"ITL1","TLC","North East (England)","A","Buildings",2000,46.16,114.8534
"ITL1","TLC","North East (England)","A","Buildings",2001,62.56,120.7154
"ITL1","TLC","North East (England)","A","Buildings",2002,52.94,127.6361
"ITL1","TLC","North East (England)","A","Buildings",2003,42.11,131.9514
"ITL1","TLC","North East (England)","A","Buildings",2004,55.39,136.8077
"ITL1","TLC","North East (England)","A","Buildings",2005,63.43,144.7996
"ITL1","TLC","North East (England)","A","Buildings",2006,56.59,156.1362
"ITL1","TLC","North East (England)","A","Buildings",2007,96.61,164.6156
"ITL1","TLC","North East (England)","A","Buildings",2008,67.93,171.9312
"ITL1","TLC","North East (England)","A","Buildings",2009,65.65,170.2704
"ITL1","TLC","North East (England)","A","Buildings",2010,57.37,159.0466
"ITL1","TLC","North East (England)","A","Buildings",2011,60.56,156.9678
"ITL1","TLC","North East (England)","A","Buildings",2012,73.14,162.0166
"ITL1","TLC","North East (England)","A","Buildings",2013,53.28,168.135
"ITL1","TLC","North East (England)","A","Buildings",2014,49.41,174.7219
"ITL1","TLC","North East (England)","A","Buildings",2015,49.14,175.5878
"ITL1","TLC","North East (England)","A","Buildings",2016,37.88,179.4576
"ITL1","TLC","North East (England)","A","Buildings",2017,42.97,184.604
"ITL1","TLC","North East (England)","A","Buildings",2018,49.6,190.9198
"ITL1","TLC","North East (England)","A","Buildings",2019,38.7,197.939
"ITL1","TLC","North East (England)","A","Buildings",2020,41.63,200.5383
"ITL1","TLC","North East (England)","A","ICT",1997,0,100
"ITL1","TLC","North East (England)","A","ICT",1998,0,82.15984
"ITL1","TLC","North East (England)","A","ICT",1999,0,74.59077
"ITL1","TLC","North East (England)","A","ICT",2000,0,75.70953
"ITL1","TLC","North East (England)","A","ICT",2001,0,75.90617
"ITL1","TLC","North East (England)","A","ICT",2002,0,64.80409
"ITL1","TLC","North East (England)","A","ICT",2003,0,54.62276
"ITL1","TLC","North East (England)","A","ICT",2004,0,50.73258
"ITL1","TLC","North East (England)","A","ICT",2005,0,42.27078
"ITL1","TLC","North East (England)","A","ICT",2006,0,37.87023
"ITL1","TLC","North East (England)","A","ICT",2007,.62,32.99924
"ITL1","TLC","North East (England)","A","ICT",2008,0,31.18105
"ITL1","TLC","North East (England)","A","ICT",2009,0,34.77257
"ITL1","TLC","North East (England)","A","ICT",2010,0,35.4206
"ITL1","TLC","North East (England)","A","ICT",2011,0,35.17281
"ITL1","TLC","North East (England)","A","ICT",2012,0,35.58675
"ITL1","TLC","North East (England)","A","ICT",2013,0,33.96503
"ITL1","TLC","North East (England)","A","ICT",2014,0,36.74005
"ITL1","TLC","North East (England)","A","ICT",2015,.5,43.94862
"ITL1","TLC","North East (England)","A","ICT",2016,0,45.72441
"ITL1","TLC","North East (England)","A","ICT",2017,.53,49.57619
"ITL1","TLC","North East (England)","A","ICT",2018,0,48.59027
"ITL1","TLC","North East (England)","A","ICT",2019,0,49.80122
"ITL1","TLC","North East (England)","A","ICT",2020,0,49.99197
"ITL1","TLC","North East (England)","A","Intangibles",1997,0,100
"ITL1","TLC","North East (England)","A","Intangibles",1998,0,101.5779
"ITL1","TLC","North East (England)","A","Intangibles",1999,0,107.2211
"ITL1","TLC","North East (England)","A","Intangibles",2000,0,109.8722
"ITL1","TLC","North East (England)","A","Intangibles",2001,0,105.1652
"ITL1","TLC","North East (England)","A","Intangibles",2002,0,107.3464
"ITL1","TLC","North East (England)","A","Intangibles",2003,0,110.8802
"ITL1","TLC","North East (England)","A","Intangibles",2004,0,109.5809
"ITL1","TLC","North East (England)","A","Intangibles",2005,.57,109.9614
"ITL1","TLC","North East (England)","A","Intangibles",2006,.64,113.1839
"ITL1","TLC","North East (England)","A","Intangibles",2007,0,114.9085
"ITL1","TLC","North East (England)","A","Intangibles",2008,.67,118.9464
"ITL1","TLC","North East (England)","A","Intangibles",2009,.61,119.4505
"ITL1","TLC","North East (England)","A","Intangibles",2010,.64,122.1796
