SITC1,SITC2,Region Group,Region,Flow Type,Year,Quarter,Value (£ 000's)
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North East,Exports (000's),2023,Q1,770
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North East,Exports (000's),2023,Q2,122
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North East,Exports (000's),2023,Q3,354
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North East,Exports (000's),2023,Q4,384
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North West,Exports (000's),2023,Q1,1757
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North West,Exports (000's),2023,Q2,7826
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North West,Exports (000's),2023,Q3,3787
0 - Food & live animals,00 - Live animals other than animals of division 03,England,North West,Exports (000's),2023,Q4,4284
0 - Food & live animals,00 - Live animals other than animals of division 03,England,Yorkshire and The Humber,Exports (000's),2023,Q1,3604
0 - Food & live animals,00 - Live animals other than animals of division 03,England,Yorkshire and The Humber,Exports (000's),2023,Q2,8067
0 - Food & live animals,00 - Live animals other than animals of division 03,England,Yorkshire and The Humber,Exports (000's),2023,Q3,5362
0 - Food & live animals,00 - Live animals other than animals of division 03,England,Yorkshire and The Humber,Exports (000's),2023,Q4,5650
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East Midlands,Exports (000's),2023,Q1,2006
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East Midlands,Exports (000's),2023,Q2,2705
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East Midlands,Exports (000's),2023,Q3,2956
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East Midlands,Exports (000's),2023,Q4,3317
0 - Food & live animals,00 - Live animals other than animals of division 03,England,West Midlands,Exports (000's),2023,Q1,819
0 - Food & live animals,00 - Live animals other than animals of division 03,England,West Midlands,Exports (000's),2023,Q2,1635
0 - Food & live animals,00 - Live animals other than animals of division 03,England,West Midlands,Exports (000's),2023,Q3,1790
0 - Food & live animals,00 - Live animals other than animals of division 03,England,West Midlands,Exports (000's),2023,Q4,963
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East,Exports (000's),2023,Q1,25949
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East,Exports (000's),2023,Q2,20158
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East,Exports (000's),2023,Q3,57310
0 - Food & live animals,00 - Live animals other than animals of division 03,England,East,Exports (000's),2023,Q4,154372
0 - Food & live animals,00 - Live animals other than animals of division 03,England,London,Exports (000's),2023,Q1,452
0 - Food & live animals,00 - Live animals other than animals of division 03,England,London,Exports (000's),2023,Q2,733
0 - Food & live animals,00 - Live animals other than animals of division 03,England,London,Exports (000's),2023,Q3,530
0 - Food & live animals,00 - Live animals other than animals of division 03,England,London,Exports (000's),2023,Q4,1156
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South East,Exports (000's),2023,Q1,5429
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South East,Exports (000's),2023,Q2,3739
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South East,Exports (000's),2023,Q3,5644
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South East,Exports (000's),2023,Q4,7759
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South West,Exports (000's),2023,Q1,2867
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South West,Exports (000's),2023,Q2,2503
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South West,Exports (000's),2023,Q3,747
0 - Food & live animals,00 - Live animals other than animals of division 03,England,South West,Exports (000's),2023,Q4,3891
0 - Food & live animals,00 - Live animals other than animals of division 03,Wales,Wales,Exports (000's),2023,Q1,17421
0 - Food & live animals,00 - Live animals other than animals of division 03,Wales,Wales,Exports (000's),2023,Q2,19173
0 - Food & live animals,00 - Live animals other than animals of division 03,Wales,Wales,Exports (000's),2023,Q3,19517
0 - Food & live animals,00 - Live animals other than animals of division 03,Wales,Wales,Exports (000's),2023,Q4,23234
0 - Food & live animals,00 - Live animals other than animals of division 03,Scotland,Scotland,Exports (000's),2023,Q1,15324
0 - Food & live animals,00 - Live animals other than animals of division 03,Scotland,Scotland,Exports (000's),2023,Q2,20813
0 - Food & live animals,00 - Live animals other than animals of division 03,Scotland,Scotland,Exports (000's),2023,Q3,19236
0 - Food & live animals,00 - Live animals other than animals of division 03,Scotland,Scotland,Exports (000's),2023,Q4,21411
0 - Food & live animals,01 - Meat & meat preparations,England,North East,Exports (000's),2023,Q1,1431
0 - Food & live animals,01 - Meat & meat preparations,England,North East,Exports (000's),2023,Q2,1775
0 - Food & live animals,01 - Meat & meat preparations,England,North East,Exports (000's),2023,Q3,1557
0 - Food & live animals,01 - Meat & meat preparations,England,North East,Exports (000's),2023,Q4,1739
0 - Food & live animals,01 - Meat & meat preparations,England,North West,Exports (000's),2023,Q1,40066
